file_a,file_b,label,clone_type,error,string_exact_match,string_similarity_ratio,jaccard_similarity,tfidf_cosine_similarity,markov_similarity,kl_divergence_a_to_b,kl_divergence_b_to_a,lexical_statistical_score,ast_node_type_jaccard,ast_sequence_similarity,ast_node_count_similarity,ast_depth_similarity,tree_edit_distance,tree_edit_similarity,apted_available,apted_tree_edit_distance,apted_tree_edit_similarity,structural_score,semantic_runnable,semantic_reason,semantic_function_a,semantic_function_b,semantic_tested_arity,semantic_total_cases,semantic_both_return_count,semantic_matching_return_count,semantic_successful_overlap,semantic_output_similarity,semantic_score,embedding_model,embedding_feature_count,embedding_cosine_similarity,embedding_score
submission45.py,submission47.py,1,2,,False,0.554858934169279,0.9259259259259259,0.9989177340209011,0.9870751867804299,0.1402686154298024,0.13732105619718382,0.9504923950489788,1.0,0.9743589743589743,0.9696969696969697,1.0,4,0.9595959595959596,no,,,0.9769230769230769,si,ok,read_numbers_from_file,get_numbers_from_file,1,10,0,0,0.0,0.0,0.25,tfidf,32,0.9977194793784697,0.9977194793784697
submission47.py,submission49.py,1,2,,False,0.4768976897689769,0.9259259259259259,0.9992545846951368,1.0,0.13635715613573568,0.13635715613573568,0.9535551568497396,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,get_numbers_from_file,read_from_file,1,10,0,0,0.0,0.0,0.25,tfidf,32,0.9972126665454698,0.9972126665454698
submission50.py,submission52.py,1,0,,False,0.33905579399141633,0.9310344827586207,0.9984573955316154,0.9915839538468203,0.07581340254806353,0.08017163861635943,0.9626943984648886,1.0,0.9446064139941691,0.9378531073446328,0.9090909090909091,36,0.7966101694915254,no,,,0.9067217113567858,si,ok,read_student_scores,fetch_student_scores,1,10,0,0,0.0,0.0,0.25,tfidf,34,0.9981083824060669,0.9981083824060669
submission52.py,submission54.py,1,3,,False,0.40303165403477487,0.9310344827586207,0.9987850605346488,0.9892445971611771,0.07945846412345565,0.07942884172524686,0.9620754123615518,0.967741935483871,0.9369369369369369,0.9940119760479041,1.0,27,0.8383233532934131,no,,,0.9283814237262179,si,ok,fetch_student_scores,load_student_scores,1,10,0,0,0.0,0.0,0.25,tfidf,33,0.998661933145199,0.998661933145199
submission55.py,submission58.py,1,0,,False,0.6064392119173474,0.8620689655172413,0.9991275972968375,0.9835014251770428,0.18897606152362867,0.18718600888040504,0.9233979396040388,0.9032258064516129,0.9681978798586572,0.9790209790209791,1.0,14,0.9020979020979021,no,,,0.9401771487375044,si,ok,read_employee_data,fetch_employee_data,1,10,0,0,0.0,0.0,0.25,tfidf,32,0.9987787414696496,0.9987787414696496
submission56.py,submission60.py,1,2,,False,0.3274536408864767,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,load_json_file,get_employees_from_json,1,10,0,0,0.0,0.0,0.25,tfidf,29,1.0000000000000002,1.0000000000000002
submission61.py,submission62.py,1,3,,False,0.40141297366730894,0.9285714285714286,0.9993779230423655,0.9967131486025496,0.04921967051799992,0.050749541299824626,0.9682064183006635,1.0,0.8218623481781376,0.9525691699604744,1.0,48,0.8102766798418972,no,,,0.8914339664911747,si,ok,read_books_from_xml,load_books_from_xml,1,10,0,0,0.0,0.0,0.25,tfidf,32,0.9992855119728464,0.9992855119728464
submission65.py,submission66.py,1,2,,False,0.6778711484593838,0.9310344827586207,0.9999013762742552,1.0,0.0502661993486077,0.0502661993486077,0.9697086702943517,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,parse_books_from_xml,extract_books_from_xml,1,10,0,0,0.0,0.0,0.25,tfidf,33,0.9998027916902302,0.9998027916902302
submission67.py,submission68.py,1,3,,False,0.2721729490022173,0.875,0.9997033085262828,0.9945245052756321,0.05926953652523409,0.11060525954858245,0.9456583269754165,1.0,0.6209523809523809,0.7100977198697068,1.0,89,0.7100977198697068,no,,,0.7747820691794634,si,ok,main,main,0,1,0,0,0.0,0.0,0.25,tfidf,33,0.9996596073940942,0.9996596073940942
submission73.py,submission74.py,1,3,,False,0.711531190926276,1.0,0.9994715484004472,0.992038787777,0.004641246599556218,0.004553929707569193,0.9973339126605448,1.0,0.7251184834123223,0.6812749003984064,1.0,80,0.6812749003984064,no,,,0.7878533260323634,si,ok,main,main,0,1,0,0,0.0,0.0,0.25,tfidf,28,0.9994136242221977,0.9994136242221977
submission77.py,submission78.py,1,3,,False,0.9314535731648032,0.9666666666666667,0.9992442147741449,0.9910920408354709,0.00841388363176925,0.06724131564118054,0.9807019070063384,1.0,0.9217391304347826,0.8548387096774194,1.0,27,0.8548387096774194,no,,,0.9151122019635344,si,ok,main,main,0,1,0,0,0.0,0.0,0.25,tfidf,31,0.9992592776595199,0.9992592776595199
submission78.py,submission81.py,1,3,,False,0.6069072564998059,0.9354838709677419,0.9989021093089475,0.9878113828334724,0.07240709356371895,0.05559310990838762,0.9658479774886896,0.9583333333333334,0.6153846153846154,0.7265625,1.0,80,0.6875,no,,,0.7607471955128206,si,ok,main,main,0,1,0,0,0.0,0.0,0.25,tfidf,32,0.9988452727852699,0.9988452727852699
submission82.py,submission83.py,1,4,,False,0.6050955414012739,0.8421052631578947,0.9787449472516658,0.9796781031253081,0.500566649111828,0.21278708649680836,0.8896097226850979,0.8571428571428571,0.8539325842696629,0.9139784946236559,0.8181818181818181,52,0.4408602150537635,no,,,0.7360847380238463,si,ok,bubble_sort,selection_sort,1,10,4,4,0.4,1.0,1.0,tfidf,19,0.9787449472516656,0.9787449472516656
submission82.py,submission85.py,1,3,,False,0.7801857585139319,0.9,0.9951631359311357,0.9761540330417882,0.02472758646299834,0.28875940787376103,0.936678925545678,0.8695652173913043,0.9333333333333333,0.9117647058823529,1.0,13,0.8725490196078431,no,,,0.9057757885763,si,ok,bubble_sort,bubble_sort_optimized,1,10,5,5,0.5,1.0,1.0,tfidf,20,0.9951631359311358,0.9951631359311358
submission89.py,submission90.py,1,4,,False,0.02591283863368669,0.75,0.9839406401534786,0.9715484025091318,0.5268607473863877,0.3174962595293696,0.8551211954589679,0.7307692307692307,0.7868852459016393,0.90625,0.7,56,0.41666666666666663,no,,,0.6738126576292559,si,ok,bfs,dfs,2,7,0,0,0.0,0.0,0.0,tfidf,24,0.9839406401534785,0.9839406401534785
submission92.py,submission93.py,1,4,,False,0.562610229276896,0.9444444444444444,0.9996893518650304,0.9844950967399947,0.09601273914425722,0.005932592089051437,0.9704390647399802,0.95,0.9879518072289156,0.992,1.0,4,0.968,no,,,0.9761879518072288,si,ok,main,main,0,1,0,0,0.0,0.0,0.25,tfidf,18,0.9996893518650306,0.9996893518650306
