model,holdout_accuracy,holdout_balanced_accuracy,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_class_0_precision,cv_class_3_recall,cv_priority_score
logistic_regression,0.8494623655913979,0.8377003805789413,0.8471629778672032,0.07451914467689001,0.856531944759886,0.05241749149831903,0.8498076294945507,0.05306315090362714,0.9375,0.8266666666666667,0.8820833333333333
linear_svc,0.7419354838709677,0.7477741898281629,0.8131187122736417,0.10616472117486506,0.8222665893107071,0.06353919424973219,0.801227345026776,0.08638578931645212,0.9140625,0.7733333333333333,0.8436979166666667
random_forest,0.8494623655913979,0.8633519778572253,0.8753722334004024,0.07463802697544258,0.8889908174981705,0.039808342218987,0.8850301636654001,0.048368511355530025,0.8843537414965986,0.7866666666666666,0.8355102040816327
