model,holdout_accuracy,holdout_balanced_accuracy,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_class_0_precision,cv_class_3_recall,cv_priority_score,cv_priority_minus_std
random_forest,0.8686868686868687,0.8884280207809618,0.9242559523809524,0.046413730500109114,0.9368745094329649,0.041643499135393884,0.9254021999393578,0.046228066633800205,0.9473684210526315,0.8666666666666667,0.9070175438596491,0.883903510542749
logistic_regression,0.8686868686868687,0.8858304005362829,0.8956845238095237,0.07148462857636552,0.9089924859459719,0.07242934173239063,0.8934931918815131,0.0783658095657697,0.9619047619047619,0.8666666666666667,0.9142857142857144,0.8751028095028295
linear_svc,0.8484848484848485,0.8727585051114463,0.8643849206349206,0.029052982065199892,0.8760732333552921,0.0407787321192175,0.8596922924319312,0.04559072633255627,0.9117647058823529,0.76,0.8358823529411765,0.8130869897748983
