model,holdout_accuracy,holdout_balanced_accuracy,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std
logistic_regression,0.8709677419354839,0.8818475377695767,0.8644576082932248,0.012560350473341066,0.8876546626351012,0.015091134367978286,0.8584022399144878,0.01688832516394961
random_forest,0.8817204301075269,0.892717102986968,0.8588670862643465,0.041736077161278806,0.8671445922222848,0.04486496703182329,0.8578393712843637,0.03049342864149506
linear_svc,0.7956989247311828,0.8220216814669588,0.823768974453906,0.05947656242120185,0.856595964990628,0.041658007449213184,0.8229819376340604,0.05868892902928669
