feature,importance
embedding_cosine_similarity,0.22938667789930114
string_similarity_ratio,0.2197933649130763
tree_edit_similarity,0.07502512046506421
apted_tree_edit_similarity,0.06876142406177216
ast_sequence_similarity,0.06628882468809606
kl_similarity,0.06357403245621834
tfidf_cosine_similarity,0.059993948519966374
semantic_output_similarity,0.057363356767337545
markov_similarity,0.042509646622541766
semantic_successful_overlap,0.03861610222873619
entropy_difference,0.036425366793202435
ast_node_count_similarity,0.01673395127818497
jaccard_similarity,0.013461241967293269
ast_node_type_jaccard,0.009183905831250117
ast_depth_similarity,0.0028830355079593117
