model,holdout_accuracy,holdout_balanced_accuracy,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std
linear_svc,1.0,1.0,0.9833333333333332,0.022222222222222233,0.984981684981685,0.02034204157789714,0.9835115405260332,0.022148339714746834
logistic_regression,1.0,1.0,0.9831746031746033,0.02230370548603213,0.9846153846153847,0.02051282051282048,0.9833140096618358,0.0222439633198566
random_forest,1.0,1.0,0.9609523809523809,0.04153274016870171,0.9626040626040627,0.03840197032524729,0.9607458714125382,0.042431628979073245
