clone_type,feature,coefficient,importance_abs,interpretation
1,string_exact_match,0.884460707317602,0.884460707317602,empuja_hacia_la_clase
1,string_similarity_ratio,0.08895110073762033,0.08895110073762033,empuja_hacia_la_clase
1,semantic_matching_return_count,-0.04437669417810935,0.04437669417810935,aleja_de_la_clase
1,kl_divergence_b_to_a,-0.04182052533602608,0.04182052533602608,aleja_de_la_clase
1,semantic_both_return_count,-0.03746532886053536,0.03746532886053536,aleja_de_la_clase
1,semantic_successful_overlap,0.03546399504466985,0.03546399504466985,empuja_hacia_la_clase
1,ast_depth_similarity,-0.0353382356444756,0.0353382356444756,aleja_de_la_clase
1,semantic_output_similarity,0.03474910399273588,0.03474910399273588,empuja_hacia_la_clase
1,tree_edit_distance,-0.034152198304932664,0.034152198304932664,aleja_de_la_clase
1,embedding_feature_count,0.02900018611414915,0.02900018611414915,empuja_hacia_la_clase
2,tree_edit_distance,-1.3058753764307884,1.3058753764307884,aleja_de_la_clase
2,string_similarity_ratio,-0.8565945157479932,0.8565945157479932,aleja_de_la_clase
2,markov_similarity,0.7122948064756411,0.7122948064756411,empuja_hacia_la_clase
2,ast_node_type_jaccard,0.6466660170676173,0.6466660170676173,empuja_hacia_la_clase
2,tree_edit_similarity,0.5881859762689183,0.5881859762689183,empuja_hacia_la_clase
2,string_exact_match,-0.4966382817170312,0.4966382817170312,aleja_de_la_clase
2,semantic_total_cases,0.4486799372316274,0.4486799372316274,empuja_hacia_la_clase
2,structural_score,0.3828705477998506,0.3828705477998506,empuja_hacia_la_clase
2,kl_divergence_b_to_a,0.2816845884836987,0.2816845884836987,empuja_hacia_la_clase
2,jaccard_similarity,-0.25779638796322385,0.25779638796322385,aleja_de_la_clase
3,tree_edit_distance,1.2258497003292708,1.2258497003292708,empuja_hacia_la_clase
3,string_similarity_ratio,0.7797988376047152,0.7797988376047152,empuja_hacia_la_clase
3,ast_node_type_jaccard,-0.6962441684793195,0.6962441684793195,aleja_de_la_clase
3,markov_similarity,-0.6765838052343822,0.6765838052343822,aleja_de_la_clase
3,tree_edit_similarity,-0.5707236974413489,0.5707236974413489,aleja_de_la_clase
3,string_exact_match,-0.4328167553934232,0.4328167553934232,aleja_de_la_clase
3,structural_score,-0.4269143330084987,0.4269143330084987,aleja_de_la_clase
3,semantic_total_cases,-0.41107096870644333,0.41107096870644333,aleja_de_la_clase
3,semantic_tested_arity,-0.355559333682168,0.355559333682168,aleja_de_la_clase
3,kl_divergence_b_to_a,-0.22699608891888726,0.22699608891888726,aleja_de_la_clase
